#file creation series : 11.Oct.2013
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4800B40B  22   9   u    0       0          6              0      HF    40    11      2
 4800B30D  22   9   u    0       0          6              1      HF    38    13      2
 4800B20D  22   9   u    0       0          6              2      HF    36    13      2
 4800B28D  22   9   u    0       0          7              0      HF    37    13      2
 4800B18D  22   9   u    0       0          7              1      HF    35    13      2
 4800B38D  22   9   u    0       0          7              2      HF    39    13      2
 4800740B  22   9   u    0       0          8              0      HF    40    11      1
 4800730D  22   9   u    0       0          8              1      HF    38    13      1
 4800720D  22   9   u    0       0          8              2      HF    36    13      1
 4800728D  22   9   u    0       0          9              0      HF    37    13      1
 4800718D  22   9   u    0       0          9              1      HF    35    13      1
 4800738D  22   9   u    0       0          9              2      HF    39    13      1
 4800708F  22  10   u    0       0         14              0      HF    33    15      1
 48006F8F  22  10   u    0       0         14              1      HF    31    15      1
 48006E8F  22  10   u    0       0         14              2      HF    29    15      1
 4800700F  22  10   u    0       0         15              0      HF    32    15      1
 48006F0F  22  10   u    0       0         15              1      HF    30    15      1
 4800710F  22  10   u    0       0         15              2      HF    34    15      1
 4800B08F  22  10   u    0       0         16              0      HF    33    15      2
 4800AF8F  22  10   u    0       0         16              1      HF    31    15      2
 4800AE8F  22  10   u    0       0         16              2      HF    29    15      2
 4800B00F  22  10   u    0       0         17              0      HF    32    15      2
 4800AF0F  22  10   u    0       0         17              1      HF    30    15      2
 4800B10F  22  10   u    0       0         17              2      HF    34    15      2
 4800B111  22  10   u    0       0         18              0      HF    34    17      2
 4800B011  22  10   u    0       0         18              1      HF    32    17      2
 4800AF11  22  10   u    0       0         18              2      HF    30    17      2
 4800AF91  22  10   u    0       0         19              0      HF    31    17      2
 4800AE91  22  10   u    0       0         19              1      HF    29    17      2
 4800B091  22  10   u    0       0         19              2      HF    33    17      2
 48007111  22  10   u    0       0         20              0      HF    34    17      1
 48007011  22  10   u    0       0         20              1      HF    32    17      1
 48006F11  22  10   u    0       0         20              2      HF    30    17      1
 48006F91  22  10   u    0       0         21              0      HF    31    17      1
 48006E91  22  10   u    0       0         21              1      HF    29    17      1
 48007091  22  10   u    0       0         21              2      HF    33    17      1
 4800748F  22  10   u    0       0          2              0      HF    41    15      1
 4800728F  22  10   u    0       0          2              1      HF    37    15      1
 4800718F  22  10   u    0       0          2              2      HF    35    15      1
 4800730F  22  10   u    0       0          3              0      HF    38    15      1
 4800720F  22  10   u    0       0          3              1      HF    36    15      1
 4800738F  22  10   u    0       0          3              2      HF    39    15      1
 4800B48F  22  10   u    0       0          4              0      HF    41    15      2
